,name,selling_price,km_driven,fuel,transmission
413,2014 Maruti Ritz,"3,37,699","42,295 km",Diesel,Manual
414,2015 Maruti Swift,"4,23,099","46,478 km",Petrol,Manual
415,2014 Honda Amaze,"3,49,599","70,640 km",Diesel,Manual
416,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
417,2018 Maruti Wagon R 1.0,"4,49,699","30,536 km",Petrol,Manual
418,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
419,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
420,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
421,2015 Tata Nano,"1,87,999","39,703 km",Petrol,Manual
422,2012 Maruti Swift,"2,60,099","1,20,326 km",Diesel,Manual
423,2014 Maruti Swift,"3,70,699","82,367 km",Diesel,Manual
424,2015 Tata Nano,"1,85,999","43,402 km",Petrol,Manual
425,2013 Maruti Swift Dzire,"3,74,499","76,795 km",Diesel,Manual
426,2013 Maruti Swift Dzire,"3,75,099","66,341 km",Diesel,Manual
427,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
428,2013 Maruti Ertiga,"4,59,999","1,12,745 km",Diesel,Manual
429,2012 Maruti Swift Dzire,"3,05,899","1,18,117 km",Diesel,Manual
430,2014 Maruti Swift,"4,24,199","38,070 km",Diesel,Manual
431,2015 Maruti Swift Dzire,"5,09,299","13,258 km",Diesel,Manual
432,2013 Maruti Swift,"3,40,699","78,932 km",Diesel,Manual
433,2014 Maruti Ritz,"3,37,699","42,295 km",Diesel,Manual
434,2015 Maruti Swift,"4,23,099","46,478 km",Petrol,Manual
435,2014 Honda Amaze,"3,49,599","70,640 km",Diesel,Manual
436,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
437,2018 Maruti Wagon R 1.0,"4,49,699","30,536 km",Petrol,Manual
438,2013 Renault Duster,"4,44,999","96,788 km",Diesel,Manual
439,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
440,2012 Maruti Swift Dzire,"2,74,099","1,26,803 km",Diesel,Manual
441,2015 Tata Nano,"1,87,999","39,703 km",Petrol,Manual
442,2012 Maruti Swift,"2,92,299","38,061 km",Diesel,Manual
443,2014 Maruti Swift,"3,70,699","82,367 km",Diesel,Manual
444,2015 Tata Nano,"1,85,999","43,402 km",Petrol,Manual
445,2013 Maruti Swift Dzire,"3,74,499","76,795 km",Diesel,Manual
446,2013 Maruti Swift Dzire,"3,03,099","49,944 km",Diesel,Manual
447,2013 Maruti Swift Dzire,"3,77,099","74,644 km",Diesel,Manual
448,2013 Maruti Ertiga,"4,59,999","1,12,745 km",Diesel,Manual
449,2012 Maruti Swift Dzire,"3,05,899","1,18,117 km",Diesel,Manual
450,2014 Maruti Swift,"4,07,199","54,884 km",Diesel,Manual
451,2015 Maruti Swift Dzire,"5,09,299","13,258 km",Diesel,Manual
452,2013 Maruti Swift,"3,50,999","83,143 km",Diesel,Manual
453,2014 Maruti Ritz,"3,37,699","42,295 km",Diesel,Manual
454,2015 Maruti Swift,"4,23,099","46,478 km",Petrol,Manual
455,2014 Honda Amaze,"3,49,599","70,640 km",Diesel,Manual
456,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
457,2018 Maruti Wagon R 1.0,"4,49,699","30,536 km",Petrol,Manual
458,2013 Renault Duster,"4,44,999","96,788 km",Diesel,Manual
459,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
460,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
461,2014 Tata Nano,"1,81,499","31,769 km",Petrol,Manual
462,2012 Maruti Swift,"2,60,099","1,20,326 km",Diesel,Manual
463,2012 Maruti Swift,"2,82,099","68,206 km",Diesel,Manual
464,2015 Tata Nano,"1,85,999","43,402 km",Petrol,Manual
465,2014 Hyundai Xcent,"3,88,699","42,384 km",Petrol,Manual
466,2013 Maruti Swift Dzire,"3,75,099","66,341 km",Diesel,Manual
467,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
468,2015 Maruti S Cross,"5,39,999","94,544 km",Diesel,Manual
469,2012 Maruti Swift Dzire,"3,05,899","1,18,117 km",Diesel,Manual
470,2014 Maruti Swift,"4,07,199","54,884 km",Diesel,Manual
471,2015 Maruti Swift Dzire,"5,09,299","13,258 km",Diesel,Manual
472,2013 Maruti Swift,"3,50,999","83,143 km",Diesel,Manual
473,2014 Maruti Ritz,"3,37,699","42,295 km",Diesel,Manual
474,2015 Maruti Swift,"4,23,099","46,478 km",Petrol,Manual
475,2014 Honda Amaze,"3,49,599","70,640 km",Diesel,Manual
476,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
477,2018 Maruti Wagon R 1.0,"4,49,699","30,536 km",Petrol,Manual
478,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
479,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
480,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
481,2014 Tata Nano,"1,81,499","31,769 km",Petrol,Manual
482,2012 Maruti Swift,"2,60,099","1,20,326 km",Diesel,Manual
483,2012 Maruti Swift,"2,82,099","68,206 km",Diesel,Manual
484,2008 Maruti Alto,"1,31,699","43,091 km",Petrol,Manual
485,2013 Maruti Swift Dzire,"3,74,499","76,795 km",Diesel,Manual
486,2013 Maruti Swift Dzire,"3,75,099","66,341 km",Diesel,Manual
487,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
488,2015 Maruti S Cross,"5,39,999","94,544 km",Diesel,Manual
489,2012 Maruti Swift Dzire,"3,05,899","1,18,117 km",Diesel,Manual
490,2014 Maruti Swift,"4,07,199","54,884 km",Diesel,Manual
491,2015 Maruti Swift Dzire,"5,09,299","13,258 km",Diesel,Manual
